names,hidden_units,epochs,rmse,std_err,mse
random,15,92,0.07900578455122247,Preprocessor1_Model07,0.006241913992554182
UCB,7,87,0.0789454531637482,3,0.00623238457522956
PI,7,94,0.07876143243152399,0,0.006203363238665519
EI,5,100,0.07883810105599491,7,0.006215446178115266
